Timestamp,Posture,Distance (cm),Sensor Reading,
2024/6/20 18:22,NS+NE,65,627,687
2024/6/20 18:22,NS+NE,65,622,686
2024/6/20 18:22,NS+NE,65,617,687
2024/6/20 18:22,NS+NE,65,623,685
2024/6/20 18:22,NS+NE,65,630,684
2024/6/20 18:22,NS+NE,65,636,686
2024/6/20 18:22,NS+NE,70,638,686
2024/6/20 18:22,NS+NE,70,634,686
2024/6/20 18:22,NS+NE,70,632,690
2024/6/20 18:22,NS+NE,70,643,699
2024/6/20 18:22,NS+NE,70,654,710
2024/6/20 18:22,NS+NE,70,677,721
2024/6/20 18:22,NS+NE,70,688,728
2024/6/20 18:22,NS+NE,70,682,727
2024/6/20 18:22,NS+NE,70,676,728
2024/6/20 18:22,NS+NE,70,673,727
2024/6/20 18:22,NS+NE,70,663,724
2024/6/20 18:22,NS+NE,70,658,724
2024/6/20 18:22,NS+NE,70,661,722
2024/6/20 18:22,NS+NE,70,658,723
2024/6/20 18:22,NS+NE,70,667,727
2024/6/20 18:22,NS+NE,70,683,726
2024/6/20 18:22,NS+NE,70,678,725
2024/6/20 18:22,NS+NE,70,682,725
2024/6/20 18:22,NS+NE,70,677,723
2024/6/20 18:22,NS+NE,70,666,726
2024/6/20 18:22,NS+NE,70,672,727
2024/6/20 18:22,NS+NE,80,670,728
2024/6/20 18:22,NS+NE,80,678,729
2024/6/20 18:22,NS+NE,80,683,733
2024/6/20 18:22,NS+NE,80,694,745
2024/6/20 18:22,NS+NE,80,704,756
2024/6/20 18:22,NS+NE,80,706,766
2024/6/20 18:22,NS+NE,80,702,775
2024/6/20 18:22,NS+NE,80,705,771
2024/6/20 18:22,NS+NE,80,693,771
2024/6/20 18:22,NS+NE,80,699,773
2024/6/20 18:22,NS+NE,80,718,770
2024/6/20 18:22,NS+NE,80,703,772
2024/6/20 18:22,NS+NE,80,708,773
2024/6/20 18:22,NS+NE,80,697,770
2024/6/20 18:22,NS+NE,80,689,772
2024/6/20 18:22,NS+NE,80,696,771
2024/6/20 18:22,NS+NE,80,703,772
2024/6/20 18:22,NS+NE,80,703,771
2024/6/20 18:22,NS+NE,80,704,771
