,No,Number Per One Dimension,Gender,Size,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Shoulder Posture,Head Posture,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 4-2
1538,1539,39,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),872,862,860,726,-136
1539,1540,40,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),872,879,859,726,-153
1540,1541,41,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),875,833,853,727,-106
1541,1542,42,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),877,851,857,719,-132
1542,1543,43,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),883,878,858,726,-152
1543,1544,44,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),885,864,871,727,-137
1544,1545,45,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),877,898,858,722,-176
1545,1546,46,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),876,887,851,721,-166
1546,1547,47,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),883,853,853,730,-123
1547,1548,48,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),888,889,855,717,-172
1548,1549,49,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),877,852,850,737,-115
1549,1550,50,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),870,847,854,725,-122
1550,1551,51,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),881,851,853,727,-124
1551,1552,52,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),884,873,858,731,-142
1552,1553,53,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),884,871,848,724,-147
1553,1554,54,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Poking Chin (Acceptable),870,875,855,723,-152
